Br *-Br
CCO *-C(-O)-C(-*)(-*)-*
CN *-N-C
CN *-C-N=*
CN *-N(-*)-C
CN *-C-N-*
CN *-N-C(-*)=*
CN *-C-N(-*)-*
CN *-N-C(-*)-*
CN *-C(=*)-N
CN *-C(=*)-N=*
O=S *-S(-*)=O
CC(N)=O *-N-C(-C)=O
CC(N)=O *-N(-*)-C(-C)=O
CC(N)=O *-C-C(=O)-N(-*)-*
CC(N)=O *-C-C(=O)-N-*
CC(N)=O *-N-C(=O)-C(-*)-*
CC(N)=O *-C-C(-N)=O
CC(N)=O *-C(=*)-C(-N)=O
CC(N)=O *-N-C(=O)-C(-*)(-*)-*
CC(N)=O *-N-C(=O)-C(-*)=*
CC(N)=O *=N-C(-C)=O
ccn *-c(:*):c(-*):n:*
ccn *-c(:c:*):n:*
ccn *:c:c:n:*
ccn *-c(:*):c(:*):n:*
ccn *-n(:*):c(=*):c(:*):*
ccn *-c(:*):c:n:*
ccn *:c:c:n(:*):*
ccn *-c(:c:*):n(:*):*
ccn *-c(:n:*):c(=*):*
ccn *=c(:*):c(=*):n(:*):*
ccn *-n(:*):c(=*):c:*
ccn *-c(:*):c(-*):n(-*):*
ccn *-c(:*):c:n(-*):*
ccn *=c(:*):c:n:*
ccn *-c(:*):c(-*):n(:*):*
ccn *-c(:n:*):c(:*):*
ccn *-n(:*):c(:*):c(=*):*
O=Cc1ccccc1 *-C(=O)-c1:c:c:c(-*):c(-*):c:1
O=Cc1ccccc1 *-C(=O)-c1:c:c:c:c:c:1
O=Cc1ccccc1 *-C(=O)-c1:c(-*):c:c:c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c:c(-*):c:c:1
O=Cc1ccccc1 *-C(=O)-c1:c:c:c:c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c:c(:*):c(:*):c:1
O=Cc1ccccc1 *-C(=O)-c1:c:c(-*):c(-*):c(-*):c:1
O=Cc1ccccc1 *-C(=O)-c1:c:c:c:c(:*):c:1:*
O=Cc1ccccc1 *-C(=O)-c1:c:c(-*):c:c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c(-*):c(-*):c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c(-*):c:c(-*):c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c:c(-*):c:c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c(-*):c:c(-*):c:1
O=Cc1ccccc1 *-C(=O)-c1:c:c:c:c(-*):c:1-*
O=Cc1ccccc1 *-C(=O)-c1:c:c:c:c(-*):c:1
CCC *-C-C-C
CCC *-C-C(-*)-C
CCC *-C-C(=*)-C(-*)=*
CCC *-C(-*)(-C)-C
CCC *-C-C-C-*
CCC *=C-C(=*)-C=*
CCC *-C(-C)-C
CCC *-C-C(-*)-C=*
CCC *-C-C(-*)-C-*
CCC *-C-C(-*)(-*)-C#*
CCC *-C-C-C(-*)=*
CCC *-C-C(=*)-C-*
CCC *=C(-C)-C
CCC *-C(-C)-C=*
CCC *-C(-*)-C(-*)-C#*
CCC *-C-C(-*)(-*)-C(-*)-*
CCC *-C(-C)-C#*
CCC *-C-C-C=*
CCC *-C-C(-*)(-*)-C-*
CCC *-C(=*)-C(-*)-C#*
CCC *-C(-*)-C(-*)-C=*
CCC *-C-C(=*)-C
CCC *-C(=*)-C-C(-*)-*
CCC *-C(-*)-C-C#*
cncn *-c(:*):n:c(-*):n:*
cncn *-c(:*):n(-*):c(-*):n:*
cncn *-c(:n:*):n:c:*
cncn *-n(:c:*):c(:*):n:*
cncn *-c(:*):n:c:n(:*):*
cncn *-n(:c:n:*):c(:*):*
cncn *-c(:n:c(:*):*):n(-*):*
cncn *-c(:n:*):n:c(:*):*
cncn *-c(:*):n:c:n:*
cncn *:c:n:c(:*):n:*
cncn *-n(:c:*):c:n:*
cncn *-c(:n:*):n(-*):c:*
cncn *-c(:*):n:c(:*):n:*
cncn *-n(:*):c(:*):n:c:*
cncn *-c(:*):n:c(:*):n(-*):*
cncn *-c(:*):n(:*):c(:*):n:*
cncn *-c(:*):n:c(-*):n(:*):*
cncn *-n(:*):c:n:c(:*):*
cncn *-n(:*):c(=*):n(-*):c(:*):*
cncn *-c(:n:*):n(:*):c:*
cncn *-c(:n:*):n(-*):c(:*):*
cncn *-c(:*):n(-*):c(:*):n:*
cncn *:n:c:n(:*):c(:*):*
cncn *:c:n(:*):c(:*):n:*
cncn *-c(:*):n:c(=*):n(-*):*
cncn *-c(:*):n(:*):c(-*):n:*
cncn *:n:c:n:c(:*):*
cncn *-c(:n:*):n(:*):c(:*):*
COc1ccccc1 *-c1:c:c:c:c:c:1-O-C
COc1ccccc1 *-c1:c:c:c(-O-C):c:c:1
COc1ccccc1 *-c1:c:c:c(-O-C):c(-*):c:1
COc1ccccc1 *-c1:c:c:c:c(-O-C):c:1
COc1ccccc1 *-C-O-c1:c:c:c(-*):c:c:1-*
COc1ccccc1 *-c1:c:c:c(-O-C):c:c:1-*
COc1ccccc1 *:c1:c:c:c(-O-C):c:c:1:*
COc1ccccc1 *-C-O-c1:c:c:c(-*):c:c:1
COc1ccccc1 *-c1:c:c(-*):c:c(-O-C):c:1
COc1ccccc1 *-c1:c:c:c(-*):c(-O-C):c:1
COc1ccccc1 *-C-O-c1:c:c:c:c:c:1-*
COc1ccccc1 *-C-O-c1:c:c:c:c(-*):c:1
COc1ccccc1 *-c1:c:c:c(-O-C):c(:*):c:1:*
COc1ccccc1 *-C(=*)-O-c1:c:c(-*):c:c:c:1-*
COc1ccccc1 *-C-O-c1:c:c:c(:*):c(:*):c:1
COc1ccccc1 *-c1:c(-O-C):c:c:c(:*):c:1:*
COc1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-O-C
COc1ccccc1 *-c1:c:c:c:c:c:1-O-C(-*)(-*)-*
COc1ccccc1 *-c1:c:c:c:c(-O-C):c:1-*
COc1ccccc1 *-C-O-c1:c:c:c:c:c:1
COc1ccccc1 *-c1:c:c(-*):c(-O-C):c:c:1-*
COc1ccccc1 *:c1:c:c:c:c(-O-C):c:1:*
COc1ccccc1 *-C(=*)-O-c1:c:c:c:c:c:1-*
COc1ccccc1 *-c1:c:c(-O-C):c(:*):c(:*):c:1
NC=O *-C(-N)=O
NC=O *-N-C(-*)=O
NC=O *-C(=O)-N=*
NC=O *-C(=O)-N(-*)-*
O=S=O *-S(-*)(=O)=O
CC=O *-C-C(-*)=O
CC=O *-C(-C)=O
CC=O *-C(=*)-C(-*)=O
CC=O *-C(=O)-C=*
CC=O *-C(=O)-C(-*)-*
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c:c:c:1-*
NC(=O)c1ccccc1 *-c1:c:c(-*):c(-*):c(-C(-N)=O):c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c(-*):c:c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c:c:c:1
NC(=O)c1ccccc1 *-c1:c:c:c:c:c:1-C(-N)=O
NC(=O)c1ccccc1 *:c1:c:c:c:c(-C(-N)=O):c:1:*
NC(=O)c1ccccc1 *-c1:c:c:c(-C(-N)=O):c:c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c:c(-*):c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c(-*):c(-*):c:1
NC(=O)c1ccccc1 *-c1:c:c:c:c:c:1-C(=O)-N(-*)-*
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c(-*):c:c(-*):c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c(:*):c(:*):c:1
NC(=O)c1ccccc1 *-N-C(=O)-c1:c(-*):c:c:c:c:1-*
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c:c(:*):c:1:*
NC(=O)c1ccccc1 *-c1:c:c:c:c(-C(-N)=O):c:1
NC(=O)c1ccccc1 *-c1:c:c:c:c(-*):c:1-C(-N)=O
NC(=O)c1ccccc1 *-N-C(=O)-c1:c:c:c:c(-*):c:1-*
ncn *-c(:n:*):n:*
ncn *-n(:*):c:n:*
ncn *-c(:n:*):n(:*):*
ncn *:n:c(:*):n(:*):*
ncn *:n:c:n:*
ncn *-c(:n:*):n(-*):*
ncn *:n:c(:*):n:*
ncn *-n(:*):c(=*):n(-*):*
ncn *:n:c:n(:*):*
Clc1ccccc1 *-c1:c:c:c(-Cl):c:c:1
Clc1ccccc1 *-c1:c:c:c(-Cl):c:c:1-*
Clc1ccccc1 *-c1:c:c:c:c:c:1-Cl
Clc1ccccc1 *-c1:c:c:c:c(-Cl):c:1
Clc1ccccc1 *:c1:c:c:c(-Cl):c:c:1:*
Clc1ccccc1 *-c1:c:c:c(-*):c(-Cl):c:1
Clc1ccccc1 *-c1:c:c(-*):c(-Cl):c:c:1-*
Clc1ccccc1 *:c1:c:c:c:c(-Cl):c:1:*
Clc1ccccc1 *-c1:c:c:c:c(-Cl):c:1-*
Clc1ccccc1 *-c1:c:c:c(-Cl):c(-*):c:1
Clc1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-Cl
ncs *-n(:*):c(:*):s:*
ncs *-c(:n:*):s:*
ncs *:n:c(:*):s:*
ncs *-n(:*):c(=*):s:*
ccccC *-C-c(:*):c:c(:*):c:*
ccccC *-c(:*):c:c:c(:*)-C
ccccC *-c(:c:*):c(-*):c(:*)-C
ccccC *-c(:*):c(=*):c:c(:*)-C
ccccC *-c(:c(:*)-C):c(:*):c:*
ccccC *:c(-C):c:c:c(:*):*
ccccC *-c(:*):c(-*):c(-*):c(:*)-C
ccccC *-c(:*):c(-*):c:c(:*)-C
ccccC *=c(:*):c:c:c(:*)-C
ccccC *-C-c(:*):c:c:c(-*):*
ccccC *-c(:c:c(:*)-C):c(:*):*
ccccC *-C-c(:*):c(-*):c(:*):c:*
ccccC *=c(:*):c(:*):c(:*):c(:*)-C
ccccC *-C-c(:*):c(:*):c(:*):c(=*):*
ccccC *-c(:*):c(:*):c(:*):c(:*)-C
ccccC *-c(:*):c:c(:*):c(:*)-C
ccccC *:c(-C):c(:*):c(:*):c(:*):*
ccccC *-c(:c:c:*):c(:*)-C
ccccC *:c:c:c(:*):c(:*)-C
ccccC *:c:c:c:c(:*)-C
ccccC *-c(:*):c(:*):c:c(:*)-C
ccccC *-c(:c(:*)-C):c(:*):c(=*):*
ccccC *=c(:c:c(:*)-C):c(:*):*
ccccC *-c(:c:*):c(:*):c(:*)-C
ccccC *-c(:c:c(:*)-C):c(=*):*
ccccC *-C-c(:*):c:c:c:*
ccccC *-c(:*):c(:*):c(-*):c(:*)-C
O=CO *-O-C(-*)=O
c=O *:c(:*)=O
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(-C)=O):c:c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c:c:c:1-N-C(-C)=O
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c:c:c:1-*
CC(=O)Nc1ccccc1 *-c1:c:c:c:c:c:1-N(-*)-C(-C)=O
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(=O)-C(-*)-*):c:c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N(-*)-c1:c:c:c:c:c:1-*
CC(=O)Nc1ccccc1 *-c1:c:c:c:c(-N-C(-C)=O):c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c(-*):c:c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c(-*):c:c:1-*
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c:c:c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c:c(-*):c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(-C)=O):c(:*):c:1:*
CC(=O)Nc1ccccc1 *-C(=*)-C(=O)-N-c1:c:c:c:c:c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c(-*):c(-*):c:1
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c(-*):c:c:c:c:1-*
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c(-*):c:c:c:1-*
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(=O)-C(-*)-*):c:c:1-*
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(-C)=O):c:c:1-*
CC(=O)Nc1ccccc1 *-C(-*)-C(=O)-N-c1:c:c:c:c:c:1
CC(=O)Nc1ccccc1 *:c1:c:c:c(-N-C(-C)=O):c:c:1:*
CC(=O)Nc1ccccc1 *-C-C(=O)-N-c1:c:c:c(:*):c(:*):c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N(-*)-C(-C)=O):c(-*):c:1
CC(=O)Nc1ccccc1 *-C(-*)(-*)-C(=O)-N-c1:c:c:c:c:c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(=O)-C(-*)-*):c(-*):c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c(-N-C(=O)-C(-*)(-*)-*):c:c:1
CC(=O)Nc1ccccc1 *-c1:c:c:c:c:c:1-N-C(=O)-C(-*)-*
CC(=O)Nc1ccccc1 *-c1:c:c(-N-C(-C)=O):c:c(-*):c:1-*
CCCC *-C-C-C-C(-*)-*
CCCC *-C-C-C-C-*
CCCC *-C-C-C(-*)(-*)-C
CCCC *=C-C(=*)-C(=*)-C
CCCC *-C-C-C(-*)-C-*
CCCC *-C-C-C(-*)-C
CCCC *-C(-C)-C-C
CCCC *-C-C(=*)-C(-*)(-*)-C
CCCC *-C-C(-*)-C(-*)-C-*
CCCC *-C(-*)-C(-*)-C(=*)-C
CCCC *-C(-*)-C-C(=*)-C
CCCC *-C-C(-*)(-*)-C(-*)-C
CCCC *-C(-*)(-C)-C-C
CCCC *-C-C-C(-*)-C#*
CCCC *-C-C(-*)-C-C(-*)(-*)-*
CCCC *-C-C(=*)-C(-*)-C-*
ncnn *-c(:n:*):n:n:*
ncnn *-c(:n:*):n(:*):n:*
ncnn *:n:c:n(:*):n(:*):*
ccC *-C-c(:*):c:*
ccC *:c:c(:*)-C
ccC *-c(:*):c(:*)-C
ccC *-C-c(:*):c(-*):*
ccC *=c(:*):c(:*)-C
ccC *-C(-*)-c(:*):c:*
FCF *-C(-F)-F
FCF *-C(-*)(-F)-F
CCNC(=O)c1ccccc1 *-C-C(-*)-N(-*)-C(=O)-c1:c:c(-*):c(-*):c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-c1:c:c:c:c:c:1-C(=O)-N(-*)-C-C
CCNC(=O)c1ccccc1 *-C-C(-*)-N-C(=O)-c1:c:c:c:c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C(-*)-N-C(=O)-c1:c:c:c(-*):c:c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c(-*):c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c(-*):c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N-C-C(-*)-*):c:c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c:c(-*):c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N(-*)-C(-*)-C):c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N(-*)-C-C):c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N-C-C(-*)-*):c(-*):c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c:c(-*):c:1-C(=O)-N(-*)-C-C=*
CCNC(=O)c1ccccc1 *-c1:c:c:c:c(-C(=O)-N-C-C(-*)-*):c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c:c(-C(=O)-N(-*)-C-C):c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c(-*):c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c(-*):c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N(-*)-C-C=*):c:c:1-*
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N-C-C(-*)-*):c:c:1-*
CCNC(=O)c1ccccc1 *-C(=*)-C-N-C(=O)-c1:c:c:c(-*):c(-*):c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N(-*)-C-C=*):c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C-N-C(=O)-c1:c:c:c(-*):c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c:c:c:1-C(=O)-N(-*)-C-C=*
CCNC(=O)c1ccccc1 *-c1:c:c:c:c:c:1-C(=O)-N-C-C(-*)-*
CCNC(=O)c1ccccc1 *-C-C-N-C(=O)-c1:c:c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N-C(-*)-C):c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N-C(=O)-c1:c:c:c(-*):c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C(-*)-N-C(=O)-c1:c:c:c(-*):c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N-C(=O)-c1:c:c:c:c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C(-*)-N-C(=O)-c1:c:c:c:c(:*):c:1:*
CCNC(=O)c1ccccc1 *-C(=*)-C-N-C(=O)-c1:c:c:c:c:c:1
CCNC(=O)c1ccccc1 *-C-C(-*)-N-C(=O)-c1:c:c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-C(=*)-C-N(-*)-C(=O)-c1:c:c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N-C(=O)-c1:c:c:c:c:c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c(-*):c:c(-*):c:1
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c(-*):c:c(-*):c:1-*
CCNC(=O)c1ccccc1 *-C(-N-C(=O)-c1:c:c:c:c:c:1)-C(-*)(-*)-*
CCNC(=O)c1ccccc1 *-C(=*)-C(-*)-N-C(=O)-c1:c:c:c(-*):c:c:1
CCNC(=O)c1ccccc1 *-C(=*)-C(-*)-N-C(=O)-c1:c:c:c:c:c:1
CCNC(=O)c1ccccc1 *-C(-*)(-*)-C(-*)(-*)-N-C(=O)-c1:c:c:c:c:c:1
CCNC(=O)c1ccccc1 *-C(=*)-C(-*)-N-C(=O)-c1:c:c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-C-C(-*)-N(-*)-C(=O)-c1:c(-*):c:c:c:c:1-*
CCNC(=O)c1ccccc1 *-C-C-N(-*)-C(=O)-c1:c:c:c:c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N(-*)-C-C=*):c:c:1
CCNC(=O)c1ccccc1 *-c1:c:c:c(-C(=O)-N-C(-*)-C):c:c:1
